,question,a,b,c,d,e,correct
1516,"
Прочитайте текст (цифри в дужках позначають номери рядків)
і виконайте завдання
Зігріти людство своїм серцем 

(1–6) Фрітьйоф Нансен відомий в Україні як учений-океанолог, видатний полярний дослідник, ім’я якого 25 разів згадується на картах Арктики. Певно, знають українці й те, що 2000 року співвітчизники Нансена проголосили його норвежцем тисячоліття. Менш відомий у нас Нансен-політик, громадський діяч, гуманіст і філантроп, нагороджений Нобелівською премією миру «за багаторічні зусилля з надання допомоги беззахисним».
(7–13) На батьківщині Фрітьйоф Нансен був надзвичайно шанованою людиною. Коли 1905 року Норвегія вирішила розірвати унію зі Швецією, саме Нансен вирушив до Лондона, щоб заручитися підтримкою британського уряду. Громадяни незалежної Норвегії запропонували йому висунути свою кандидатуру на пост президента, але він, зайнятий наукою, відмовився. Та вже в 1906–1908 роках Нансен стає норвезьким послом у Великій Британїі, а з часом як представник Норвегії в США відстоює інтереси країни на міжнародній арені.
(14–24) Після завершення Першої світової війни Нансен був обраний верховним комісаром Ліги Націй у справах військовополонених. Улітку 1922 року за сприяння Міжнародного комітету Червоного Хреста йому вдалося здійснити обмін військовополоненими й повернути додому більше 400 тисяч військових із 26 країн світу. Окремо варто згадати «паспорти Нансена». Так називали розроблені ним посвідчення, що їх видавали біженцям, які не мали документів і не могли перетинати кордони. Ідеться про тисячі людей, зокрема тих, які емігрували з Росії після більшовицького перевороту. Червоний Хрест запропонував використати на новостворених посвідченнях ім’я Фрітьйофа Нансена: це мало посилити довіру до них як міжнародних документів. За час Першої світової війни було видано близько 450 000 «паспортів Нансена», за допомогою яких усі біженці без громадянства знайшли притулок в інших країнах.
(25–30) Він був одним із тих, хто простягнув руку Україні в трагічні часи голоду 1921–1923 років. Коли уряди світових держав відмовлялися надавати допомогу, пояснюючи це небажанням підтримувати більшовицький режим, Нансен, маючи авторитет видатного вченого й громадського діяча, зібрав кошти, необхідні для закупівлі продовольства. Фонд Нансена становив велику на той час суму, до якої сам учений додав значну частину своєї Нобелівської премії.
(31–37) У 1923 році Нансен приїздить до Харкова, щоб погодити з урядом тогочасної радянської України план боротьби з наслідками голоду. Він так пояснював свої наміри: «По-перше, необхідно надати допомогу постраждалим від голоду, а також сприяти селянам у відбудові господарства. Друге завдання – подбати про культуру країни з великим майбутнім. Студенти мають продовжувати навчання, учителі – повернутися до педагогічної праці. Нам потрібна не тільки їжа, але й книга. На нас лежить великий обов’язок навчити європейські країни взаємної довіри».
(38–44) За сприяння Фонду Нансена в одеському порту розвантажували партії італійських і швейцарських тракторів, на Херсонщину й Миколаївщину надходила безвідсоткова продовольча позика. Європейська організація допомоги студентам постачала одяг і навчальну літературу харківським спудеям, а чехословацька місія надіслала вагони з продуктами. Організація Нансена заснувала в Україні кілька дитячих будинків, зокрема в Харкові. Усі вони мали однакову назву «Дитячий будинок ім. Нансена». На гроші Фонду було створено два дослідні господарства.
(45–53) Фрітьйофу Нансену належать слова: «Я завжди знищую за собою всі мости, щоб не було дороги назад!» Своїм життям учений засвідчив дотримання задекларованого принципу. У молодому віці він вирішив перетнути на лижах крижане плато Ґренландії від зовсім безлюдного східного її берега до добре обжитого західного, свідомо позбавивши себе шляхів для відступу. Ціною неймовірних зусиль здійснивши задумане, Нансен повернувся на батьківщину воістину народним героєм. Коли під час славнозвісної арктичної експедиції на «Фрамі» дослідник пересвідчився, що, затиснутий кригою, корабель не досягне Північного полюса, продрейфує повз нього, він разом з Юхансеном вирушає туди на нартах.
(54–56) У жилах Фрітьйофа Нансена текла кров відважних предків-вікінгів, а в грудях билося велике й гаряче серце гуманіста, теплом якого він прагнув зігріти всіх. І людство відчувало це тепло в його шляхетних учинках.
За А. Садовник


Головну думку автора висловлено в рядку
",Життя Нансена – гідний для наслідування приклад самовідданого служіння благородній меті.,Біографія Нансена є свідченням його відмови від наукової діяльності заради громадських справ.,"Життя Нансена – надійний дороговказ для тих, хто прагне здобути світове визнання.","Людина не може здобути всесвітньої слави, не ризикуючи найдорожчим, що в неї є, не відмовляючись від ідеалів.",,a
1517,"
Рядки

Ой з-за гори та з-за кручі
Буйне військо виступає,
Попереду Морозенко
Сивим конем виграває

взяті з
",думи,балади,історичної пісні, суспільно-побутової пісні,календарно-обрядової пісні,c
1518,"
У «Слові про похід Ігорів» буй-туром (яр-туром) названо
",Святослава,Всеволода,Ігоря,Володимира,Ярослава,b
1519,"
«Ваша “Маруся” так мені про Вас розказала, що я Вас навиліт знаю», – написав Тарас Шевченко
",Іванові Котляревському,Пантелеймонові Кулішу,Іванові Нечую-Левицькому,Григорієві Квітці-Основ’яненку,Панасові Мирному,d
1520,"
У творі «Наталка Полтавка» освідчення возного Наталці «Я тебе люблю і женитись на тобі хочу» є
",експозицією,зав’язкою,розвитком дії,кульмінацією,розв’язкою,b
1521,"
Образ гетьмана Полуботка наявний у творі
","«І мертвим, і живим, і ненарожденним…»",«Кавказ»,«До Основ’яненка»,«Гайдамаки», «Сон» («У всякого своя доля…»),e
1522,"
«Запорожжя споконвіку було серцем українським, на Запорожжі воля ніколи не вмирала, давні звичаї ніколи не забувались», – пише автор твору
",«Чорна рада»,«Максим Гримач»,«Камінний хрест»,"«Хіба ревуть воли, як ясла повні?»",«Тіні забутих предків»,a
1523,"
На фотографії зображено автора рядків

","«Обніміться ж, брати мої. Молю вас, благаю!..»","«Дух, що тіло рве до бою Рве за поступ, щастя й волю, Він живе, він ще не вмер…»","«О, якби в дурні мені не пошитись, Щоб без свободи не міг я лишитись…»",«Стилет чи стилос? – не збагнув. Двояко Вагаються трагічні терези…»,"«Так! Я буду крізь сльози сміятись, Серед лиха співати пісні…»",b
1524,"
Вілінська – справжнє прізвище автора твору
",«Максим Гримач»,«Чого являєшся мені у сні…»,«Блакитна Панна»,«Contra spem spero!»,«Intermezzo»,a
1525,"
«Я не хочу буть дворянкою! Краще жить на світі щасливим мужиком, ніж нещасним паном, – це всяке знає!..» – заявляє матері
",Галя Ґудзь,Маруся Дрот,Леся Черевань,Мелашка Балаш,Марися Боруля,e
1526,"
Як іскра ще в тобі горить
І згаснути не вспіла, –
Гори! Життя – єдина мить,
Для смерті ж – вічність ціла, –
закликає ліричний герой твору
",Івана Франка,Олександра Олеся,Павла Тичини,Миколи Вороного,Василя Симоненка,b
1527,"
«Народе мій, до тебе я ще верну, / і в смерті обернуся у життя», – заявляє ліричний герой поезії
",«Молюсь і вірю…»,«Різдво»,"«Як добре те, що смерті не боюсь я»",«Українське альфреско»,«Стилет чи стилос?»,c
1528,"
«І уже в душі моїй / В сяйві мрій / В’ються хмелем арабески, / Миготять камеї, фрески, / Гомонять-бринять пісні / Голосні / І сплітаються в гротески», – заявляє ліричний герой поезії
",Василя Симоненка,Івана Драча,Миколи Вороного,Василя Стуса,Павла Тичини,c
1529,"
«Глибокий потрясаючий конфлікт революціонера-людини й революціонера- фанатика, людини й догми» зображено у творі
",«Шаланда в морі»,«Моя автобіографія»,«Місто»,«Я (Романтика)»,«Момент»,d
1530,"
«А твоя теорія, що українська мова є австріяцька видумка, була теорією російських жандармів і царського міністра Валуєва», – говорить батькові
",Степан Радченко,Мокій Мазайло, Роман Запорожець,Гриць Сірко,Оверко Половець,b
1531,"
На тлі Другої світової війни розгортаються події твору
",«Я (Романтика)»,«Момент»,«Подвійне коло»,«Тигролови»,«Україна в огні»,e
1532,"
Мудрою батьковою настановою «Тому роду нема переводу, в котрому браття милують згоду» нехтують сини у творі
",«Кайдашева сім’я»,«Чорна рада»,«Камінний хрест», «Подвійне коло»,«Україна в огні»,d
1533,"
У рядках

…Гетьман підняв безсонням обпалені очі.
Гетьман сидів за похідним столом у шатрі.
Троє старшин – у рубцях, у кривавому клоччі –
прямо із бою – говорили про бій на Дніпрі.
Писар Виговський сидів над листами поточними.
Кожної миті хитнутись могли терези

йдеться про гетьмана
",Богдана Хмельницького ,Івана Брюховецького,Якима Сомка, Дем’яна Многогрішного,Якова Остряницю,a
1534,"
«Лемки у крисанях», які «принесли місяць круглий», є героями твору
",Миколи Вороного,Максима Рильського,Богдана-Ігоря Антонича, Олександра Олеся,Павла Тичини,c
1535,"
«Сміливі завжди мають щастя» – такою є ідея твору
",«Я (Романтика)»,«Подвійне коло»,«Маруся Чурай»,«Тигролови»,«Три зозулі з поклоном»,d
1536,"
Поезію українського постмодернізму представляє
",Ігор Римарук,Василь Симоненко,Ліна Костенко,Євген Маланюк,Василь Стус,a
1537,"
Правильно узгоджено прикметник з іменником
",широка степ ,нестерпна біль ,оптова продаж ,далека путь ,,d
1538,"
Вставним словом ускладнено речення (розділові знаки пропущено)
",Наш тренер може перепливти Дніпро. ,Час для роботи вже може й настав? ,Мріяти про велике може кожен.,Чи може орел здійнятись над хмари?,,b
1539,"
Похідними від слова рука є всі слова, ОКРІМ
",рушник,поруччя,порушник,обіруч,,c
1540,"
Речення з прямою мовою записано в рядку (розділові знаки пропущено)
",Хай замріяна весна тобі розкаже як вірно я тебе кохаю. ,Ні не клич мене весно казала я їй не чаруй і не ваб надаремне.,А жовте листя осені шепоче щоб швидко-швидко йшла вже геть.,Хто вам сказав що я слабка що я корюся долі?,,b
1541,"
На другий склад падає наголос у слові
",центнер,селянин,перепис,листопад,,c
1542,"
Зміну приголосного НЕ ПОЗНАЧАЮТЬ на письмі в прикметнику, утвореному за допомогою суфікса -ськ- від слова
",солдат,словак,парубок,товариш,,a
1543,"
Прочитайте текст і виконайте завдання
Київський Музей-квартира Павла Тичини відкриває завсідникам унікальні, нікому не/відомі шедеври живопису з приватної колекції геніального українського митця. (2) Тут також упорядковано неабиякі експонати: рукописи, картини, особисті речі, пов’язані з поетом, зокрема музичні інструменти. (3) Хранителі закладу кажуть, що як/би доля повернула автора «Сонячних кларнетів» у якесь інше русло, то він став би, можливо чудовим художником. (4) Життя ж вирішило інакше, то/ж ми маємо геніального поета, про/те живопис супроводжував письменника постійно. (5) У його квартирі на вулиці Терещенківській зібрані не тільки унікальні автографи та книжки, а й малюнки самого поета.
Окремо в тексті треба писати слово
",не/відомі,як/би,то/ж,про/те,,a
1544,"
Прочитайте текст і виконайте завдання
Київський Музей-квартира Павла Тичини відкриває завсідникам унікальні, нікому не/відомі шедеври живопису з приватної колекції геніального українського митця. (2) Тут також упорядковано неабиякі експонати: рукописи, картини, особисті речі, пов’язані з поетом, зокрема музичні інструменти. (3) Хранителі закладу кажуть, що як/би доля повернула автора «Сонячних кларнетів» у якесь інше русло, то він став би, можливо чудовим художником. (4) Життя ж вирішило інакше, то/ж ми маємо геніального поета, про/те живопис супроводжував письменника постійно. (5) У його квартирі на вулиці Терещенківській зібрані не тільки унікальні автографи та книжки, а й малюнки самого поета.
Відокремлений додаток є в реченні
",першому,другому,третьому,п'ятому,,b
1545,"
Прочитайте текст і виконайте завдання
Київський Музей-квартира Павла Тичини відкриває завсідникам унікальні, нікому не/відомі шедеври живопису з приватної колекції геніального українського митця. (2) Тут також упорядковано неабиякі експонати: рукописи, картини, особисті речі, пов’язані з поетом, зокрема музичні інструменти. (3) Хранителі закладу кажуть, що як/би доля повернула автора «Сонячних кларнетів» у якесь інше русло, то він став би, можливо чудовим художником. (4) Життя ж вирішило інакше, то/ж ми маємо геніального поета, про/те живопис супроводжував письменника постійно. (5) У його квартирі на вулиці Терещенківській зібрані не тільки унікальні автографи та книжки, а й малюнки самого поета.
Пунктуаційну помилку допущено в реченні
",першому,другому,третьому,п'ятому,,c
1546,"
Прочитайте текст і виконайте завдання
Київський Музей-квартира Павла Тичини відкриває завсідникам унікальні, нікому не/відомі шедеври живопису з приватної колекції геніального українського митця. (2) Тут також упорядковано неабиякі експонати: рукописи, картини, особисті речі, пов’язані з поетом, зокрема музичні інструменти. (3) Хранителі закладу кажуть, що як/би доля повернула автора «Сонячних кларнетів» у якесь інше русло, то він став би, можливо чудовим художником. (4) Життя ж вирішило інакше, то/ж ми маємо геніального поета, про/те живопис супроводжував письменника постійно. (5) У його квартирі на вулиці Терещенківській зібрані не тільки унікальні автографи та книжки, а й малюнки самого поета.
У формі знахідного відмінка вжито іменник
",шедеври,хранителі,автографи,малюнки,,a
1547,"
Підкреслені літери позначають однаковий звук у кожному слові рядка
","вітер, гігантський, твоя","шістсот, дивуєшся, шанець","вокзал, кава, рукотворний","у книжці, жіноцтво, обережно","тітонька, тьохкає, тямущий",e
1548,"
Лексичну помилку допущено в рядку
",діюче законодавство,цікава пропозиція,підсумкове заняття ,курячий бульйон ,запорука успіху,a
1549,"
Через дефіс треба писати всі складні прикметники рядка
","лимонно/жовтий, лимонно/кислий, лимонно/ванільний ","суспільно/політичний, суспільно/корисний, суспільно/економічний ","південно/український, південно/західний, південно/кримський","садово/городній, садово/дачний, садово/парковий ","науково/дослідний, науково/популярний, науково/подібний",d
1550,"
Помилку в написанні слова допущено в рядку
","фініш, силікон, дісконт ","аудитор, вінегрет, стиліст  ","престиж, риторика, діалог ","пріоритет, лібрето, симптом ","диригент, грація, дисплей",a
1551,"
Правильно написано всі слова в рядку
","спитати, росхвалений, прибічник, беззбройний ","скаламутити, безквитковий, розжувати, приточений ","призвище, зціпити, безхарактерний, розквіт ","розказати, бесхатько, зцементувати, примазатись ","зчавлений, розпилення, препізнитися, безкрай",b
1552,"
Редагування потребує речення
","Урахувавши досвід попередників, можеш уникнути багатьох помилок. ","Довідавшись про щось першим, обов’язково поділюся з друзями. ","Будь готовий до труднощів і зневіри, будуючи повітряні замки.","Розв’язуючи задачу, спочатку вона здалася мені дуже складною. ","Усвідомлюючи наслідки власних учинків, дій відповідально.",d
1553,"
Помилку у творенні форми ступеня порівняння прикметника допущено в рядку
","якнайглибший, менш високий, найсолодший ","солоніший, найбільш привабливий, щонайкороткий ","найпотрібніший, найбільш гострий, менш смачний ","найменш брудний, щонайкращий, більш доцільний ","більш дотепний, найменш вдалий, найвідважніший",b
1554,"
Реченню «Як свідчить перське прислів’я, доброзичливість у людських стосунках – це коштовність, яка збагачує не того, хто її отримує, а того, хто її дає» НЕ ВІДПОВІДАЄ за змістом речення
","За перським прислів’ям, доброзичливість як коштовність людських стосунків не збагачує того, хто її отримує, але обдаровує того, хто її дає.","Відповідно до перського прислів’я, доброзичливість як коштовність у людських стосунках збагачує не обдарованого нею, а того, хто обдаровує.","Перське прислів’я стверджує: доброзичливість – це коштовність людських стосунків, яка збагачує не того, кому вона адресована, а того, хто її виказав.","За перським прислів’ям, доброзичливість у людських стосунках – це коштовність, яка хоч і не збагачує того, хто її дає, але обдаровує її отримувача.","Доброзичливість, як засвідчує перське прислів’я, є тією коштовністю людських стосунків, яку даровано не тому, хто її отримує, а тому, хто її дає.",d
1555,"
Прочитайте речення.
У теплицях … вирощують близько … сортів … помідорів.
Граматично правильним є варіант послідовного заповнення пропусків
","Дмитра Білоусько, двадцяти, щонайбільш смачних ","Дмитра Білоуська, двадцять, найбільш смачних ","Дмитра Білоуська, двадцяти, найбільш смачніших ","Дмитра Білоусько, двадцять, якнайсмачніших ","Дмитра Білоуська, двадцяти, найсмачніших",e
1556,"
Форму наказового способу дієслова вжито в реченні
","«Любі колеги, відсьогодні переходимо на здорову їжу»,– весело констатувала Лідія. ","«За третім столиком замовили «Неаполітано» з подвійним сиром»,– голосно вигукнула офіціантка.","Сьогодні вводимо нове меню, яке схвалили співробітники нашого ресторану. ","Намасти хліб сирною масою, зверху притруси петрушкою – і канапка готова! ","Раджу спробувати нашої піци, випеченої за спеціальним рецептом у дров’яній печі.",d
1557,"
Двокрапку треба поставити між частинами безсполучникового речення (розділові знаки пропущено)
",Поплив би я на той бік човна не дають. ,На білу гречку впали роси веселі бджоли одгули. ,Сонце впало на сизу хмару обрій полум’ям запалав. ,А вранці осінь встане в косі янтарній нитка сивини. ,Мені снилось мельник я у старому млині.,e
1558,"
Складносурядне речення можна утворити, якщо серед варіантів продовження речення «Двори були прикрашені розмаїтими клумбами …» вибрати
",і химерно розмальованими лавками. ,де розрослися невідомі екзотичні квіти. ,ніби там попрацював ландшафтний дизайнер.,адже ми змагалися за звання найкращого садівника. ,а під’їзди – дзеркалами та квітами у вазонах.,e
1559,"
Прочитайте речення.
Мотоцикл і я(1) це окрема тема(2) тиждень ремонтую(3) аби 20 хвилин проїхати іноді(4) навіть(5) із вітерцем перед обуреними сусідками.
Кóму треба ставити на місці цифри
",1,2,3,4,5,c
1560,"
Прочитайте текст (цифри в дужках позначають номери рядків)
 і виконайте завдання
Шанс реалізувати себе
(1–4) На Олімпіаді-2016 у Ріо-де-Жанейро збірна України посіла в загально-
командному заліку 31-ше місце. Особливо безрадісний цей результат на тлі досяг-
нень нашої параолімпійської збірної, яка здобула 117 медалей і посіла на Пара-
олімпіаді-2016 третє місце – після збірних Китаю та Великої Британії.
(5–10) Виступи українців на Параолімпіаді-2016 без перебільшення вразили.
Наприклад, у змаганнях із плавання комплексом на 200 метрів наші спортсмени
зайняли всі сходинки п’єдесталу: Денис Дубров здобув золоту медаль і встановив
новий світовий рекорд, Максим Крипак отримав срібло, а Дмитро Ванзенко виграв
бронзу. У зв’язку з цим радісно вибухнув український сегмент соціальних мереж.
Досягнення українських спортсменів помітили також перші особи держави.
(11–23) Звичайно, кожним із цих мужніх людей, які отримали нагороди на
Параолімпіаді-2016, варто захоплюватися. Як і тими спортсменами, які фінішу-
вали за межами першої трійки чи навіть просто взяли участь у змаганнях, адже
найважливіший олімпійський принцип твердить, що «головне участь, а не пере-
мога». Саме в такий спосіб розвиває параолімпійський рух цивілізований світ.
Особливо це стосується параолімпійців, для яких уже вихід на старт є звитягою
духу над фізичними можливостями. Ще в середині минулого століття англій-
ський нейрохірург Людвіг Гутман на практиці довів, що спорт допомагає людям
з особливими потребами покращити своє життя та відновити психічну рівновагу.
До прикладу, у США, Великій Британії, Австралії для них створені комфортні
умови. Їм надані широкі можливості реалізуватися як особистостям, зокрема бра-
ти участь у спортивних змаганнях найвищого рівня. Для цього, власне, і створені
параолімпіади.
(24–30) У державах з авторитарним режимом правління спорт сприймають
по-іншому. Для їхніх керманичів спорт – спосіб прославляння величі власної кра-
їни й покращення її іміджу у світі, пропаганда свого устрою. Цей принцип свідо-
мо перенесений ними на параолімпійський рух: результат понад усе, досягти його
треба за будь-яку ціну. Можливо, саме тому на останніх трьох параолімпіадах у
командному заліку перемагала збірна Китаю. Що ж до команди США, то вона вос-
таннє посідала перше місце 1996 року.
(31–37) Приклад використання параолімпійців з пропагандистською метою
подає Росія. На Параолімпіаді-2012 у Лондоні збірна цієї країни була в загально-
му заліку другою, що ж до Параолімпіади-2016, то російських спортсменів не до-
пустили до змагань через систематичне вживання допінгу. «Як на мене, російська
влада “підставила” своїх параолімпійців. Її підхід “медалі важливіші за мораль”
мені огидний»,– прокоментував дискваліфікацію збірної Росії голова Міжнарод-
ного параолімпійського комітету Філіп Крейвен.
(38–47) Україна на двох останніх параолімпіадах ставала в медальній кла-
сифікації четвертою. У Пекіні 2008 року вона здобула 74 нагороди, у Лондо-
ні 2012-го – 85. Параолімпійці традиційно виступають краще за нашу олімпійську
команду. Можливо, спрацьовує різниця в психології олімпійців і параолімпійців.
Для людей з особливими потребами параолімпійський спорт є в нашій країні од-
ним, на жаль, з небагатьох шансів реалізувати себе в житті. Погодьмося, 40 тисяч
доларів за золоту медаль, 26 тисяч доларів за срібну й 18 тисяч доларів за бронзову –
гроші, які людям, що мають проблеми зі здоров’ям, складно заробити в інших сфе-
рах життя. Тож добре, що в Україні побудована система параолімпійського руху,
яка дозволяє їм досягати спортивних успіхів.
(48–54) Пишаючись спортивними досягненнями параолімпійської  збірної
України, наше суспільство мало б зважати не лише на її високі місця в медальних
заліках, а також на інші речі. Наприклад, на міжнародний рейтинг доступності
міського середовища й транспорту для людей з особливими можливостями (а отже,
і з особливими потребами!). Коли станеться так, що Україна в цьому списку також
увійде до світової топ-трійки, тоді матимемо право впевнено говорити про наші
спортивні перемоги.
                                                                                                         За Д. Марценишиним
Головну думку автора висловлено в рядку
","На відміну від олімпійської збірної України, параолімпійці гідно презентували нашу державу на іграх у Ріо-де-Жанейро. ","Україна належить до тих країн, які дотримуються олімпійського принципу «головне участь, а не перемога». ","Пишаючись нашими параолімпійцями, маємо визнати, що спорт в Україні є для них однією з, на жаль, небагатьох можливостей реалізувати себе як особистість. ",Блискавичному успіху параолімпійців на Олімпіаді-2016 у Ріо-де-Жанейро сприяла побудована в Україні система параолімпійського руху.,,c
1561,"
Прочитайте текст (цифри в дужках позначають номери рядків)
 і виконайте завдання
Шанс реалізувати себе
(1–4) На Олімпіаді-2016 у Ріо-де-Жанейро збірна України посіла в загально-
командному заліку 31-ше місце. Особливо безрадісний цей результат на тлі досяг-
нень нашої параолімпійської збірної, яка здобула 117 медалей і посіла на Пара-
олімпіаді-2016 третє місце – після збірних Китаю та Великої Британії.
(5–10) Виступи українців на Параолімпіаді-2016 без перебільшення вразили.
Наприклад, у змаганнях із плавання комплексом на 200 метрів наші спортсмени
зайняли всі сходинки п’єдесталу: Денис Дубров здобув золоту медаль і встановив
новий світовий рекорд, Максим Крипак отримав срібло, а Дмитро Ванзенко виграв
бронзу. У зв’язку з цим радісно вибухнув український сегмент соціальних мереж.
Досягнення українських спортсменів помітили також перші особи держави.
(11–23) Звичайно, кожним із цих мужніх людей, які отримали нагороди на
Параолімпіаді-2016, варто захоплюватися. Як і тими спортсменами, які фінішу-
вали за межами першої трійки чи навіть просто взяли участь у змаганнях, адже
найважливіший олімпійський принцип твердить, що «головне участь, а не пере-
мога». Саме в такий спосіб розвиває параолімпійський рух цивілізований світ.
Особливо це стосується параолімпійців, для яких уже вихід на старт є звитягою
духу над фізичними можливостями. Ще в середині минулого століття англій-
ський нейрохірург Людвіг Гутман на практиці довів, що спорт допомагає людям
з особливими потребами покращити своє життя та відновити психічну рівновагу.
До прикладу, у США, Великій Британії, Австралії для них створені комфортні
умови. Їм надані широкі можливості реалізуватися як особистостям, зокрема бра-
ти участь у спортивних змаганнях найвищого рівня. Для цього, власне, і створені
параолімпіади.
(24–30) У державах з авторитарним режимом правління спорт сприймають
по-іншому. Для їхніх керманичів спорт – спосіб прославляння величі власної кра-
їни й покращення її іміджу у світі, пропаганда свого устрою. Цей принцип свідо-
мо перенесений ними на параолімпійський рух: результат понад усе, досягти його
треба за будь-яку ціну. Можливо, саме тому на останніх трьох параолімпіадах у
командному заліку перемагала збірна Китаю. Що ж до команди США, то вона вос-
таннє посідала перше місце 1996 року.
(31–37) Приклад використання параолімпійців з пропагандистською метою
подає Росія. На Параолімпіаді-2012 у Лондоні збірна цієї країни була в загально-
му заліку другою, що ж до Параолімпіади-2016, то російських спортсменів не до-
пустили до змагань через систематичне вживання допінгу. «Як на мене, російська
влада “підставила” своїх параолімпійців. Її підхід “медалі важливіші за мораль”
мені огидний»,– прокоментував дискваліфікацію збірної Росії голова Міжнарод-
ного параолімпійського комітету Філіп Крейвен.
(38–47) Україна на двох останніх параолімпіадах ставала в медальній кла-
сифікації четвертою. У Пекіні 2008 року вона здобула 74 нагороди, у Лондо-
ні 2012-го – 85. Параолімпійці традиційно виступають краще за нашу олімпійську
команду. Можливо, спрацьовує різниця в психології олімпійців і параолімпійців.
Для людей з особливими потребами параолімпійський спорт є в нашій країні од-
ним, на жаль, з небагатьох шансів реалізувати себе в житті. Погодьмося, 40 тисяч
доларів за золоту медаль, 26 тисяч доларів за срібну й 18 тисяч доларів за бронзову –
гроші, які людям, що мають проблеми зі здоров’ям, складно заробити в інших сфе-
рах життя. Тож добре, що в Україні побудована система параолімпійського руху,
яка дозволяє їм досягати спортивних успіхів.
(48–54) Пишаючись спортивними досягненнями параолімпійської  збірної
України, наше суспільство мало б зважати не лише на її високі місця в медальних
заліках, а також на інші речі. Наприклад, на міжнародний рейтинг доступності
міського середовища й транспорту для людей з особливими можливостями (а отже,
і з особливими потребами!). Коли станеться так, що Україна в цьому списку також
увійде до світової топ-трійки, тоді матимемо право впевнено говорити про наші
спортивні перемоги.
                                                                                                        За Д. Марценишиним
За логікою автора тексту,
","що більше в параолімпійця можливостей для реалізації себе як особистості, то вищі його досягнення в спорті ","країни світу, які в параолімпійському спорті дотримуються принципу «головне участь, а не перемога», належать до цивілізованих ","країни, відомі перемогами на параолімпіадах, надають усі можливості для реалізації спортсменів у різних сферах життя ","щодо країн, де параолімпійці вповні реалізують себе як особистості, вимога «результат понад усе» відповідає олімпійському духу",,b
